year,month,category,concentration
2002,1,LDGV,0.431352882663282
2002,2,LDGV,0.362919489675978
2002,3,LDGV,0.325233726746645
2002,4,LDGV,0.260791175867141
2002,5,LDGV,0.240326331333195
2002,6,LDGV,0.220755675418295
2002,7,LDGV,0.238123483435321
2002,8,LDGV,0.238122543182086
2002,9,LDGV,0.228756227902792
2002,10,LDGV,0.298710201482093
2002,11,LDGV,0.392688092301916
2002,12,LDGV,0.362287334541063
2003,1,LDGV,0.387603664085854
2003,2,LDGV,0.379092825624455
2003,3,LDGV,0.298820221861915
2003,4,LDGV,0.250036347139904
2003,5,LDGV,0.204363440933727
2003,6,LDGV,0.20582054513967
2003,7,LDGV,0.189473526475373
2003,8,LDGV,0.221717732797714
2003,9,LDGV,0.244913475096459
2003,10,LDGV,0.31848855143299
2003,11,LDGV,0.366755304535991
2003,12,LDGV,0.368129702950679
2004,1,LDGV,0.370821408413461
2004,2,LDGV,0.412053741717613
2004,3,LDGV,0.294746343660997
2004,4,LDGV,0.248742755779017
2004,5,LDGV,0.217341675054511
2004,6,LDGV,0.198555116705002
2004,7,LDGV,0.198712477942012
2004,8,LDGV,0.184175460251197
2004,9,LDGV,0.184147395877681
2004,10,LDGV,0.272582816628987
2004,11,LDGV,0.373397927887693
2004,12,LDGV,0.398504194105796
2005,1,LDGV,0.411158382081485
2005,2,LDGV,0.402943932954683
2005,3,LDGV,0.310417061582759
2005,4,LDGV,0.259259268920403
2005,5,LDGV,0.230290970694682
2005,6,LDGV,0.192434101944879
2005,7,LDGV,0.191728523723046
2005,8,LDGV,0.202683739342638
2005,9,LDGV,0.214429019235719
2005,10,LDGV,0.271652580653102
2005,11,LDGV,0.364192358214723
2005,12,LDGV,0.430660397697091
2006,1,LDGV,0.431352882663282
2006,2,LDGV,0.365753775763773
2006,3,LDGV,0.298225198856517
2006,4,LDGV,0.256810328839928
2006,5,LDGV,0.211096654977813
2006,6,LDGV,0.195019222974455
2006,7,LDGV,0.193287996420023
2006,8,LDGV,0.202529280382717
2006,9,LDGV,0.202150488762772
2006,10,LDGV,0.293202686674779
2006,11,LDGV,0.390232871932246
2006,12,LDGV,0.451136273869686
2007,1,LDGV,0.284663300444939
2007,2,LDGV,0.304186677567948
2007,3,LDGV,0.269176091119332
2007,4,LDGV,0.197159263704313
2007,5,LDGV,0.180279312303307
2007,6,LDGV,0.180619071215954
2007,7,LDGV,0.173386589271541
2007,8,LDGV,0.197211083337004
2007,9,LDGV,0.182163556267877
2007,10,LDGV,0.205383238965313
2007,11,LDGV,0.340151227538083
2007,12,LDGV,0.327910284323367
2008,1,LDGV,0.361724249280295
2008,2,LDGV,0.335227464326845
